169,175,endpoint
196,137,endpoint
57,253,endpoint
102,173,endpoint
156,43,endpoint
140,12,endpoint
213,20,endpoint
280,75,endpoint
453,70,endpoint
443,122,endpoint
390,82,endpoint
287,7,endpoint
374,33,endpoint
240,370,endpoint
398,416,endpoint
127,194,crossing
446,391,bifurcation
511,374,bifurcation
451,296,bifurcation
298,303,endpoint
170,466,endpoint
77,492,endpoint
33,370,endpoint
24,327,endpoint
32,233,bifurcation
206,507,endpoint
394,99,bifurcation
361,88,bifurcation
279,64,endpoint
205,86,endpoint
28,406,endpoint
108,458,endpoint
108,493,endpoint
