209,230,endpoint
258,234,endpoint
302,306,endpoint
150,393,endpoint
472,462,endpoint
414,147,endpoint
304,216,endpoint
408,171,endpoint
39,406,endpoint
262,488,endpoint
498,69,endpoint
496,442,bifurcation
265,348,bifurcation
252,261,bifurcation
186,398,bifurcation
179,419,bifurcation
291,420,bifurcation
330,511,bifurcation
376,161,bifurcation
323,392,bifurcation
403,347,bifurcation
382,363,bifurcation
433,322,bifurcation
469,283,bifurcation
454,361,bifurcation
487,409,endpoint
492,269,endpoint
508,293,endpoint
493,344,endpoint
415,306,endpoint
401,418,endpoint
