4,168,endpoint
13,45,endpoint
212,447,endpoint
269,351,endpoint
249,315,endpoint
407,141,endpoint
78,258,endpoint
123,149,endpoint
232,84,bifurcation
215,115,bifurcation
257,127,bifurcation
288,133,bifurcation
282,462,endpoint
417,379,endpoint
115,71,endpoint
68,201,endpoint
471,57,endpoint
272,155,endpoint
221,144,endpoint
196,145,endpoint
84,329,endpoint
149,471,crossing
388,13,bifurcation
391,31,bifurcation
427,458,endpoint
142,303,endpoint
217,266,endpoint
367,509,endpoint
