102,326,endpoint
264,183,endpoint
117,144,endpoint
402,302,endpoint
295,338,endpoint
328,500,endpoint
370,476,endpoint
186,424,endpoint
251,482,endpoint
429,208,endpoint
356,189,endpoint
415,135,endpoint
445,306,endpoint
449,127,bifurcation
492,56,bifurcation
354,67,bifurcation
378,77,bifurcation
306,125,endpoint
295,81,endpoint
300,58,endpoint
318,72,bifurcation
127,223,endpoint
227,112,endpoint
214,73,endpoint
264,20,endpoint
419,326,endpoint
332,346,endpoint
67,274,endpoint
104,310,endpoint
70,498,endpoint
116,510,endpoint
510,84,bifurcation
463,136,bifurcation
462,170,endpoint
509,149,endpoint
466,439,endpoint
459,472,endpoint
368,486,bifurcation
359,497,bifurcation
