74,378,endpoint
117,416,endpoint
99,73,endpoint
271,78,endpoint
349,7,endpoint
213,391,endpoint
210,244,endpoint
207,284,endpoint
288,298,endpoint
245,346,endpoint
134,312,endpoint
175,161,endpoint
261,158,endpoint
335,477,endpoint
239,10,endpoint
326,371,endpoint
419,340,endpoint
437,503,endpoint
171,414,bifurcation
203,409,bifurcation
300,223,endpoint
343,199,endpoint
338,139,endpoint
284,167,endpoint
304,149,bifurcation
270,145,endpoint
17,499,endpoint
116,498,endpoint
15,428,endpoint
135,459,endpoint
269,299,bifurcation
247,280,bifurcation
