161,42,endpoint
204,80,endpoint
300,55,endpoint
352,196,endpoint
201,192,endpoint
413,264,endpoint
375,304,endpoint
323,227,endpoint
332,10,endpoint
422,141,endpoint
119,496,endpoint
146,458,endpoint
52,494,endpoint
32,284,endpoint
32,302,endpoint
106,364,endpoint
90,333,endpoint
163,341,endpoint
230,396,endpoint
403,391,endpoint
393,443,endpoint
340,403,endpoint
237,328,endpoint
324,354,endpoint
487,354,endpoint
255,231,bifurcation
278,224,bifurcation
413,35,endpoint
506,4,endpoint
477,297,endpoint
258,78,bifurcation
290,73,bifurcation
358,280,bifurcation
493,425,endpoint
344,420,bifurcation
311,409,bifurcation
229,385,endpoint
155,407,endpoint
105,266,bifurcation
75,243,endpoint
74,264,endpoint
216,252,endpoint
104,163,endpoint
203,162,endpoint
102,92,endpoint
222,123,endpoint
