338,4,endpoint
65,198,endpoint
201,145,endpoint
408,19,endpoint
113,173,bifurcation
178,156,bifurcation
118,78,bifurcation
302,83,endpoint
275,28,crossing
82,365,endpoint
245,211,endpoint
324,333,endpoint
409,222,endpoint
334,236,endpoint
409,201,endpoint
290,168,endpoint
493,66,endpoint
349,282,endpoint
496,290,endpoint
504,419,endpoint
496,473,bifurcation
474,463,endpoint
343,378,endpoint
386,429,endpoint
255,427,endpoint
316,482,endpoint
287,463,bifurcation
260,470,endpoint
