122,46,endpoint
183,114,endpoint
145,154,endpoint
93,77,endpoint
173,241,endpoint
163,293,endpoint
110,253,endpoint
7,178,endpoint
94,204,endpoint
391,393,endpoint
448,297,endpoint
428,261,endpoint
257,204,endpoint
302,95,endpoint
25,81,bifurcation
48,74,bifurcation
411,30,bifurcation
394,61,bifurcation
436,73,bifurcation
467,79,bifurcation
461,408,endpoint
294,17,endpoint
247,147,endpoint
451,101,endpoint
400,90,endpoint
375,91,endpoint
128,130,bifurcation
171,467,bifurcation
18,474,endpoint
355,472,endpoint
263,275,endpoint
114,270,bifurcation
81,259,bifurcation
328,417,crossing
321,249,endpoint
396,212,endpoint
