32,102,endpoint
37,167,endpoint
289,132,endpoint
332,170,endpoint
428,145,endpoint
480,286,endpoint
329,282,endpoint
503,394,endpoint
451,317,endpoint
422,38,endpoint
503,52,endpoint
460,100,endpoint
349,66,endpoint
160,374,endpoint
160,392,endpoint
234,454,endpoint
218,423,endpoint
291,431,endpoint
358,486,endpoint
468,493,endpoint
365,418,endpoint
452,444,endpoint
383,321,bifurcation
406,314,bifurcation
386,168,bifurcation
418,163,bifurcation
486,370,bifurcation
472,510,bifurcation
439,499,bifurcation
357,475,endpoint
283,497,endpoint
233,356,bifurcation
203,333,endpoint
202,354,endpoint
344,342,endpoint
232,253,endpoint
331,252,endpoint
230,182,endpoint
350,213,endpoint
484,53,bifurcation
462,34,bifurcation
